Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:04:26,27.8,29.8,46.0,40.0,40.0,41.0,46.0,29.1,6.3,7.2,4.9,98.1,30.7,18.5,0.0,5.2
2022-03-17_05:04:28,27.8,29.8,46.0,41.0,42.0,40.0,46.0,29.3,5.4,6.2,4.9,99.5,30.7,18.7,0.0,5.2
2022-03-17_05:04:30,27.8,29.8,48.0,39.0,40.0,42.0,48.0,29.7,5.9,5.8,5.9,99.5,31.0,19.0,0.0,5.2
2022-03-17_05:04:32,27.8,29.8,46.0,41.0,46.0,40.0,41.0,29.4,5.4,99.0,5.9,4.9,31.1,19.0,0.0,5.2
2022-03-17_05:04:35,27.8,29.8,47.0,40.0,41.0,47.0,42.0,28.7,4.5,5.4,99.0,4.4,30.8,18.7,0.0,5.2
2022-03-17_05:04:37,27.8,29.8,49.0,40.0,42.0,42.0,49.0,29.3,7.8,8.7,5.3,95.2,30.7,18.7,0.0,5.2
2022-03-17_05:04:39,27.8,29.8,48.0,48.0,47.0,46.0,48.0,28.1,97.1,5.9,4.4,3.4,30.9,18.6,0.0,5.2
2022-03-17_05:04:41,27.8,29.8,51.0,49.0,45.0,47.0,51.0,29.8,80.8,25.8,6.7,5.4,31.1,18.9,0.0,5.2
2022-03-17_05:04:43,27.8,29.8,48.0,45.0,46.0,46.0,48.0,30.0,10.2,6.8,5.9,95.2,31.2,19.2,0.0,5.2
2022-03-17_05:04:45,27.8,29.8,46.0,43.0,44.0,46.0,44.0,29.7,95.2,6.3,10.1,7.2,31.0,18.8,0.0,5.2
2022-03-17_05:04:47,27.8,29.8,49.0,42.0,43.0,43.0,49.0,31.8,9.6,8.7,94.2,15.6,31.7,19.7,0.0,5.3
2022-03-17_05:04:49,27.8,29.8,50.0,42.0,44.0,42.0,50.0,42.1,18.9,23.6,25.4,99.5,36.6,25.0,0.0,5.9
2022-03-17_05:04:51,27.8,29.8,49.0,49.0,45.0,43.0,45.0,41.1,53.3,26.4,53.1,31.5,36.6,24.9,0.0,5.8
2022-03-17_05:04:53,27.8,29.8,50.0,49.0,50.0,49.0,49.0,33.8,99.5,13.8,11.2,8.9,33.5,21.4,0.0,5.4
2022-03-17_05:04:55,27.8,29.8,51.0,48.0,52.0,48.0,48.0,28.7,99.5,4.4,4.4,4.9,31.0,18.8,0.0,5.2
2022-03-17_05:04:57,27.8,29.8,48.0,48.0,44.0,44.0,43.0,30.6,100.0,9.1,8.6,5.4,31.6,19.5,0.0,5.2
2022-03-17_05:04:59,27.8,29.8,49.0,42.0,48.0,44.0,44.0,29.1,52.7,10.6,47.1,6.2,30.8,18.5,0.0,5.2
2022-03-17_05:05:02,27.8,29.8,49.0,43.0,50.0,46.0,42.0,30.4,6.8,99.5,6.8,8.1,31.2,19.1,0.0,5.2
2022-03-17_05:05:04,27.8,29.8,49.0,43.0,49.0,44.0,43.0,29.6,8.6,96.6,7.8,5.3,30.9,18.7,0.0,5.2
2022-03-17_05:05:06,27.8,29.8,47.0,42.0,45.0,47.0,45.0,28.9,5.3,5.8,99.5,3.4,30.8,18.7,0.0,5.2
2022-03-17_05:05:08,27.8,29.8,48.0,42.0,48.0,43.0,44.0,29.5,5.9,15.4,90.9,5.4,31.2,19.1,0.0,5.2
2022-03-17_05:05:10,27.8,29.8,49.0,44.0,49.0,43.0,43.0,29.8,5.8,100.0,7.7,5.3,31.1,19.0,0.0,5.2
2022-03-17_05:05:12,27.8,29.8,50.0,42.0,45.0,43.0,50.0,29.1,4.9,88.6,6.3,16.0,31.0,18.9,0.0,5.2
2022-03-17_05:05:14,27.8,29.8,50.0,50.0,44.0,41.0,44.0,28.8,16.2,5.8,4.9,88.0,30.8,18.7,0.0,5.2
2022-03-17_05:05:16,27.8,29.8,50.0,50.0,43.0,40.0,42.0,29.2,99.5,5.4,4.4,5.8,31.1,18.8,0.0,5.2
2022-03-17_05:05:18,27.8,29.8,49.0,42.0,49.0,43.0,45.0,28.8,86.1,18.7,4.9,4.9,31.1,18.8,0.0,5.2
2022-03-17_05:05:20,27.8,29.8,49.0,42.0,49.0,43.0,45.0,29.3,3.9,100.0,5.4,5.7,31.1,18.9,0.0,5.2
2022-03-17_05:05:22,27.8,29.8,49.0,49.0,43.0,42.0,44.0,29.2,20.9,56.2,33.8,5.4,31.0,18.9,0.0,5.2
2022-03-17_05:05:25,27.8,29.8,50.0,50.0,43.0,43.0,43.0,29.0,100.0,5.3,4.9,4.9,31.0,18.8,0.0,5.2
2022-03-17_05:05:27,27.8,29.8,51.0,51.0,44.0,43.0,43.0,29.0,99.5,4.9,4.9,5.3,31.1,18.9,0.0,5.2
2022-03-17_05:05:29,27.8,29.8,50.0,42.0,43.0,43.0,50.0,29.6,81.2,6.7,6.2,24.2,31.0,18.9,0.0,5.2
2022-03-17_05:05:31,27.8,29.8,49.0,43.0,45.0,49.0,43.0,30.4,24.0,7.6,26.9,62.9,31.0,18.9,0.0,5.2
2022-03-17_05:05:33,27.8,29.8,49.0,41.0,44.0,49.0,44.0,29.5,6.8,3.0,99.5,6.2,31.0,19.0,0.0,5.2
2022-03-17_05:05:35,27.8,29.8,50.0,42.0,42.0,44.0,50.0,29.1,6.3,5.8,78.2,27.1,30.9,18.8,0.0,5.2
2022-03-17_05:05:37,27.8,29.8,50.0,50.0,45.0,45.0,45.0,29.2,27.0,5.4,5.4,77.9,31.1,19.0,0.0,5.2
2022-03-17_05:05:39,27.8,29.8,50.0,45.0,50.0,43.0,45.0,29.1,76.7,29.0,5.7,5.3,31.1,18.9,0.0,5.2
2022-03-17_05:05:41,27.8,29.8,50.0,51.0,44.0,42.0,43.0,29.2,30.2,75.8,4.9,4.9,31.1,19.0,0.0,5.2
2022-03-17_05:05:43,27.8,29.8,49.0,42.0,45.0,49.0,45.0,29.5,75.0,5.8,30.9,6.2,31.2,19.1,0.0,5.2
2022-03-17_05:05:45,27.8,29.8,49.0,45.0,44.0,49.0,46.0,28.8,5.8,4.8,99.5,3.9,31.0,18.9,0.0,5.2
2022-03-17_05:05:47,27.8,29.8,48.0,43.0,44.0,48.0,45.0,28.8,4.4,3.0,100.0,5.8,30.9,18.9,0.0,5.2
2022-03-17_05:05:50,27.8,29.8,51.0,43.0,43.0,43.0,51.0,29.0,4.9,5.3,73.2,31.7,30.8,18.8,0.0,5.2
2022-03-17_05:05:52,27.8,29.8,50.0,42.0,43.0,44.0,50.0,28.7,5.8,4.4,3.0,99.5,30.8,18.8,0.0,5.2
2022-03-17_05:05:54,27.8,29.8,51.0,51.0,44.0,43.0,44.0,29.5,32.4,6.2,4.9,74.9,30.8,18.7,0.0,5.2
2022-03-17_05:05:56,27.8,29.8,50.0,50.0,44.0,44.0,43.0,30.2,99.5,7.2,7.1,7.1,31.1,18.9,0.0,5.2
2022-03-17_05:05:58,27.8,29.8,50.0,43.0,50.0,44.0,43.0,28.6,72.3,31.7,4.9,4.9,31.0,18.8,0.0,5.2
2022-03-17_05:06:00,27.8,29.8,50.0,43.0,50.0,42.0,43.0,28.8,4.4,100.0,3.5,5.3,30.9,18.8,0.0,5.2
2022-03-17_05:06:02,27.8,29.8,50.0,45.0,50.0,44.0,45.0,28.9,5.9,99.5,4.4,4.9,31.0,18.8,0.0,5.2
2022-03-17_05:06:04,27.8,29.8,49.0,43.0,44.0,49.0,44.0,29.1,6.7,66.7,38.5,4.8,31.1,19.0,0.0,5.2
2022-03-17_05:06:06,27.8,29.8,50.0,43.0,44.0,49.0,45.0,29.2,5.8,4.9,99.5,4.4,31.0,18.9,0.0,5.2
2022-03-17_05:06:08,27.8,29.8,51.0,42.0,43.0,44.0,51.0,28.8,5.9,4.4,67.1,37.7,30.9,18.8,0.0,5.2
2022-03-17_05:06:10,27.8,29.8,51.0,42.0,42.0,44.0,51.0,29.0,5.9,3.4,5.3,99.5,30.9,18.8,0.0,5.2
2022-03-17_05:06:13,27.8,29.8,50.0,43.0,50.0,42.0,44.0,29.3,3.9,44.8,7.2,61.0,30.9,18.8,0.0,5.2
2022-03-17_05:06:15,27.8,29.8,51.0,42.0,44.0,49.0,47.0,29.8,5.3,61.2,45.2,7.1,31.0,18.9,0.0,5.2
2022-03-17_05:06:17,27.8,29.8,52.0,42.0,42.0,44.0,52.0,29.6,8.0,4.8,59.8,46.7,30.9,18.7,0.0,5.2
2022-03-17_05:06:19,27.8,29.8,53.0,42.0,43.0,45.0,52.0,29.0,5.3,4.9,4.9,100.0,30.9,18.9,0.0,5.2
2022-03-17_05:06:21,27.8,29.8,50.0,51.0,44.0,44.0,43.0,29.6,48.3,27.6,5.9,36.1,31.1,19.0,0.0,5.2
2022-03-17_05:06:23,27.8,29.8,49.0,43.0,44.0,49.0,47.0,28.9,57.0,4.4,48.0,6.3,31.1,19.0,0.0,5.2
2022-03-17_05:06:25,27.8,29.8,49.0,44.0,45.0,49.0,45.0,28.8,4.4,4.8,99.5,4.9,30.9,18.8,0.0,5.2
2022-03-17_05:06:27,27.8,29.8,51.0,43.0,45.0,51.0,45.0,28.3,3.5,4.0,99.5,3.9,31.0,18.9,0.0,5.2
2022-03-17_05:06:29,27.8,29.8,52.0,44.0,43.0,44.0,52.0,29.3,6.7,5.8,86.5,18.0,30.9,18.8,0.0,5.2
2022-03-17_05:06:31,27.8,29.8,50.0,43.0,45.0,50.0,45.0,28.7,5.4,3.9,52.7,52.4,31.0,18.9,0.0,5.2
2022-03-17_05:06:33,27.8,29.8,50.0,44.0,45.0,50.0,45.0,29.2,7.2,3.4,99.5,4.9,31.0,18.8,0.0,5.2
2022-03-17_05:06:35,27.8,29.8,50.0,44.0,42.0,43.0,50.0,29.5,8.9,4.9,85.0,19.8,31.0,18.8,0.0,5.2
2022-03-17_05:06:38,27.8,29.8,51.0,43.0,44.0,46.0,51.0,29.6,6.7,5.3,5.3,100.0,30.9,18.8,0.0,5.2
2022-03-17_05:06:40,27.8,29.8,51.0,51.0,45.0,43.0,44.0,29.0,83.3,5.8,3.9,21.7,31.0,18.8,0.0,5.2
2022-03-17_05:06:42,27.8,29.8,52.0,52.0,44.0,44.0,43.0,28.8,100.0,4.9,5.8,4.0,31.2,19.0,0.0,5.2
2022-03-17_05:06:44,27.8,29.8,51.0,51.0,44.0,44.0,43.0,29.0,72.5,23.3,5.8,13.7,31.1,19.0,0.0,5.2
