Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-10_02:34:30,27.8,29.8,36.0,33.0,34.0,33.0,35.0,1.1,1.4,1.4,1.9,0.0,8.6,0.2,0.0,3.5
2022-03-10_02:34:32,27.8,29.8,36.0,34.0,34.0,33.0,36.0,7.1,6.7,8.1,6.7,5.8,12.0,3.0,0.0,3.6
2022-03-10_02:34:34,27.8,29.8,39.0,39.0,38.0,35.0,36.0,22.7,21.3,18.8,26.7,24.3,23.5,12.9,0.0,4.0
2022-03-10_02:34:36,27.8,29.8,36.0,35.0,35.0,34.0,36.0,7.5,5.3,7.2,4.3,13.8,12.9,3.5,0.0,3.6
2022-03-10_02:34:38,27.8,29.8,35.0,34.0,33.0,32.0,35.0,1.4,1.4,1.0,1.9,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:34:40,27.8,29.8,36.0,35.0,34.0,32.0,35.0,1.2,0.5,1.4,2.4,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:34:42,27.8,29.8,35.0,35.0,34.0,32.0,35.0,3.5,3.8,2.9,2.4,4.3,9.5,0.8,0.0,3.6
2022-03-10_02:34:44,27.8,29.8,36.0,33.0,33.0,33.0,36.0,1.2,1.4,1.9,1.0,1.4,8.6,0.3,0.0,3.5
2022-03-10_02:34:46,27.8,29.8,35.0,33.0,34.0,32.0,34.0,1.6,0.5,2.9,0.5,1.4,8.8,0.4,0.0,3.5
2022-03-10_02:34:48,27.8,29.8,36.0,34.0,34.0,33.0,36.0,1.8,1.9,2.4,1.9,1.4,8.8,0.4,0.0,3.5
2022-03-10_02:34:50,27.8,29.8,35.0,34.0,35.0,32.0,34.0,2.4,2.4,3.3,1.9,1.4,9.2,0.7,0.0,3.5
2022-03-10_02:34:53,27.8,29.8,35.0,34.0,33.0,32.0,34.0,1.1,1.9,1.9,0.0,0.0,8.6,0.2,0.0,3.5
2022-03-10_02:34:55,27.8,29.8,36.0,35.0,34.0,33.0,36.0,1.0,0.5,2.4,1.0,1.0,8.6,0.2,0.0,3.5
